deflag,g1_15_AQ,g1_25_AQ,g2_38_CL,g2_37_CL,g4_61_LF,g4_68_LF,g5_86_PE,g5_99_PE
0,NA,NA,14.37982103,NA,0.647395222,NA,NA,0.039766714
0,4.481491406,0.199295576,NA,NA,NA,0.211681352,1.037400772,NA
0,0.119671148,0.393263242,37.81679613,0.135322524,0.56885228,0.404245936,1.02321728,0.014322808
0,3.211341384,0.187906909,NA,NA,NA,0.153292227,1.000695884,NA
0,-1.20229575,0.427107917,6.539807209,0.061292653,0.582848109,0.477464409,1.000687368,0.034477633
0,NA,NA,NA,-0.007616023,NA,0.433673318,1.006431053,-0.009743291
0,3.378338369,-0.308584621,18.9153003,0.146159353,1.224354951,0.121903689,1.017063589,0.252369483
0,-0.111095203,0.079187012,15.49765534,0.044437885,1.523116764,0.322240221,1.016574795,0.083534586
0,NA,NA,NA,0.071414265,NA,0.158268735,NA,NA
0,-0.859598355,-0.104965453,15.89629209,0.076699322,0.572219101,0.157927122,1.004238661,0.025223414
0,NA,NA,NA,NA,1.605905541,0.396946965,NA,0.015523709
0,2.381517451,0.326129629,13.09633673,0.030299356,1.038796365,0.111264295,1.026365146,0.159624231
0,NA,NA,13.39818031,NA,1.286526797,NA,NA,0.247612476
0,4.288123238,0.053657928,28.4865858,0.120469305,1.560713464,0.06786659,1.005465487,0.052597631
0,2.732225425,0.271146994,19.40642092,0.125049423,0.968061814,-0.00262418,1.04424937,0.074529318
0,4.311814286,-0.037053724,26.28905207,0.15807354,0.477469559,0.444380924,1.02134057,0.033779322
0,NA,NA,13.36467833,NA,1.247740811,NA,NA,0.08832607
0,NA,NA,NA,NA,NA,NA,NA,NA
0,1.705535839,NA,NA,0.097497705,0.412366909,NA,NA,-0.019378809
0,0.700245494,-0.015206295,NA,NA,0.705797912,0.374548801,1.012239471,0.064639753
0,NA,NA,6.284714613,0.05831693,NA,NA,1.016475203,0.023863961
0,NA,NA,NA,NA,NA,NA,NA,NA
0,NA,NA,NA,NA,NA,NA,NA,NA
0,1.592636878,0.667405578,NA,NA,0.822557146,-0.060723944,1.000378342,0.025118997
0,-0.897863917,0.679553601,20.62245508,0.048938586,0.579590174,0.351110141,1.002538546,0.012206361
0,1.579305225,0.379510681,11.4698914,0.017860482,0.768097796,0.027290598,1.030401929,0.101078855
0,-1.687224045,0.458286253,17.90030516,0.046886883,0.598273143,0.650455402,0.994770699,0.01368924
0,NA,NA,NA,0.050927344,0.781045459,NA,NA,0.075327374
0,NA,NA,NA,NA,0.677741969,0.553646102,NA,-0.001045175
0,NA,NA,NA,NA,NA,NA,NA,NA
0,0.418413231,0.475256695,NA,NA,0.771567416,0.139956668,1.01426903,0.04470017
0,NA,NA,NA,0.054854108,NA,0.167483074,1.000114849,0.026722047
0,1.019466787,0.441311749,10.98381118,0.038961156,0.691139627,0.140809779,1.051906796,0.320481644
0,NA,NA,NA,NA,NA,NA,NA,NA
0,0.129801021,0.205401942,7.994719575,0.051163858,0.544235183,0.459249094,1.021183434,0.040860459
0,10.61636963,-0.247044599,9.843874307,0.045115366,0.641345906,0.410304785,1.020180144,0.084029669
0,-0.067493063,-0.301646303,NA,NA,NA,0.236214642,0.972526185,NA
0,3.774727277,-0.032154174,13.64752846,-0.010778436,0.625670848,0.224992996,1.018756803,0.08909496
0,1.641242549,0.868809661,16.02008958,0.031850263,0.967876711,0.404220527,0.998220975,0.117007372
0,-0.204392434,NA,NA,0.029149803,0.882994006,NA,NA,0.015784501
0,0.001095984,0.539097027,13.13821015,0.054309666,1.226110775,0.45572897,1.0079398,0.036320297
0,0.373043529,0.631790721,NA,NA,1.241130087,0.001118363,0.986691652,0.037622447
0,0.753109803,0.31865783,NA,NA,NA,0.495708429,1.045587411,NA
0,7.210814505,NA,NA,0.064322264,0.952621209,NA,NA,0.370701554
0,1.788151087,-0.0119001,NA,NA,NA,0.036412615,1.008301969,NA
0,1.019663581,NA,NA,0.067255802,0.847337975,NA,NA,0.124100026
0,-2.352578352,0.922051728,4.979177821,0.025258391,1.23389393,0.136254572,0.991682663,-0.011551615
0,0.463172107,0.224324314,28.4825825,0.170373169,0.306787998,0.904310374,1.043931418,0.110721938
0,NA,NA,NA,NA,NA,NA,NA,NA
0,NA,NA,21.61920833,NA,NA,0.388772149,NA,0.02686557
0,0.462558103,0.522407295,14.73163218,0.049746651,NA,0.221333157,NA,NA
0,2.941180823,0.09386892,6.447173791,0.044397898,0.894870307,0.334940362,1.008911832,0.063771078
0,0.774442616,NA,31.51368216,0.16115703,1.056518127,NA,NA,-0.014551432
0,0.855140231,0.78720949,NA,NA,0.617834906,0.48444276,0.976595373,0.012376223
0,-0.885104066,0.177001568,20.78162665,0.131113918,0.236885095,-0.044706809,1.025761979,0.095888157
0,NA,NA,NA,0.086126037,0.426728215,NA,NA,0.105524959
0,1.552822029,NA,23.20629726,0.072583015,0.378689996,NA,NA,0.146994186
0,-1.000803477,0.172905712,9.466233301,0.041863317,0.473148956,0.054009042,1.035452858,0.045995065
0,4.454948608,0.000253101,5.255423359,0.066032461,1.018814471,0.274752685,1.030907866,0.14750616
0,1.162589636,NA,NA,0.016719678,0.893129597,NA,NA,0.150277379
